genome	AMO_Group	AMO_Group_Phy	AMO_Group_Phy_2
GCA_002496485.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002503285.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002506755.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002712575.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002713185.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002716085.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002718695.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002719615.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002720055.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002722735.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002725315.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002728565.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002731195.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003602515.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003602595.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_004195615.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002496725.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002498925.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002499325.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002499345.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002499865.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002501605.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002501805.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002502095.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002504435.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002505775.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002506825.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002718995.2	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002726275.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002730095.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002498455.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002505685.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002722595.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002724815.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002505495.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002685895.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002727675.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003193925.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002501885.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002503055.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002507125.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002698225.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002714745.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002727275.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_004195715.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003561665.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003009755.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCF_000025665.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCF_000327505.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002011395.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002878135.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003649915.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003649695.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_001421185.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_001512965.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002498285.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
